instance_id,theorem_name,proof_url,licence_status,redistribution_status,reviewer,notes
erdosproblems-100-erdos-100-piepmeyer,Erdos100.erdos_100_piepmeyer,https://github.com/theaustinhatfield/formal-conjectures/blob/solve-erdos-100-piepmeyer/FormalConjectures/ErdosProblems/100.lean,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-1043-erdos-1043,Erdos1043.erdos_1043,https://github.com/XC0R/formal-conjectures/blob/7db17471701f15b125d1c36bc1fa5bb9b702d6be/FormalConjectures/ErdosProblems/1043.lean#L214,Apache-2.0,bundled,Codex,Oracle copied from an Apache-2.0 Formal Conjectures fork proof and ported to the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
erdosproblems-1052-even-of-isunitaryperfect,Erdos1052.even_of_isUnitaryPerfect,https://github.com/mzhorvath1/formal-conjectures/blob/b70a2ddf5e55f743aac9d4f4a907786b39bc9807/FormalConjectures/ErdosProblems/1052.lean#L46,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-1074-ehsnumbers-infinite,Erdos1074.erdos_1074.variants.EHSNumbers_infinite,https://github.com/mzhorvath1/formal-conjectures/blob/3dec597bd1a73778760b761712a1fc5fb24bc5d7/FormalConjectures/ErdosProblems/1074.lean#L99,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-1080-erdos-1080,Erdos1080.erdos_1080,https://github.com/plby/lean-proofs/blob/main/src/v4.24.0/ErdosProblems/Erdos1080.lean,no-explicit-license,bundled,Codex,Project owner accepted bundling despite no explicit upstream license; remove or rewrite promptly on rights-holder request. Oracle artifacts are committed locally and have clean Modal oracle validation.
erdosproblems-1082-ii,Erdos1082.erdos_1082.parts.ii,https://github.com/google-deepmind/formal-conjectures/blob/0aca4d71095301c0fd2dca32611b7addb2ea735c/FormalConjectures/ErdosProblems/1082.lean,Apache-2.0,bundled,Codex,Oracle copied from the upstream Apache-2.0 Formal Conjectures proof and ported to the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
erdosproblems-12-isgood-example,Erdos12.isGood_example,https://github.com/mo271/formal-conjectures/blob/2663234a28260853790aa5752d8d4550ff0ab1ca/FormalConjectures/ErdosProblems/12.lean#L39,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-12-i,Erdos12.erdos_12.parts.i,https://github.com/mo271/formal-conjectures/blob/8d872b465955e46e2d28bc165d186ea41fd0da9e/FormalConjectures/ErdosProblems/12.lean#L810,Apache-2.0,bundled,Codex,Oracle copied from an Apache-2.0 Formal Conjectures fork proof and ported to the pinned Lean 4.27.0/mathlib environment; Modal oracle passes hardened verifier.
erdosproblems-12-ii,Erdos12.erdos_12.parts.ii,https://github.com/mo271/formal-conjectures/blob/118a6a60df73a9f47d6c89f3cdb3786eaa2e8d0a/FormalConjectures/ErdosProblems/12.lean#L740,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
erdosproblems-125-erdos-125,Erdos125.erdos_125,https://github.com/google-deepmind/formal-conjectures/blob/300bf771bdbef43d7b9aa2521e633a50fd54dd28/FormalConjectures/ErdosProblems/125.lean,Apache-2.0,bundled,Codex,"Promotion review: oracle artifacts are committed locally, source is Formal Conjectures or an Apache-2.0 Formal Conjectures fork, and clean Modal oracle validation exists."
